Temp 	| sat pressure water 	| sat pressure ice
18 		| 20.639310289256407
11 		| 13.12676024999926
6 		| 9.350810447272258
1 		| 6.566879719219249
-5 		| 4.211615077176664 	|  4.013619119740469
-11 	| 2.6382040281493135 	|  2.372791814108067
-17 	| 1.6110250508571473 	|  1.367600518635497
-24 	| 0.8749100111600517 	|  0.6946184799208586
-31 	| 0.45585913322670185 	|  0.33881896386006005
-39 	| 0.2045373373454979 	|  0.1412703414176272
-46 	| 0.09601530164240438 	|  0.06235994424846719
-50 	| 0.06076343204374835 	|  0.038159808373863735

altitude| Temp 		| pressure
0.0 	|	 18.0 	| 1000.0
1.0 	|	 11.0 	| 887.9543508156555
2.0 	|	 6.0 	| 784.7483380734495
3.0 	|	 1.0 	| 690.3314658668357
4.0 	|	 -5.0 	| 603.1356336726203
5.0 	|	 -11.0 	| 523.4242756409174
6.0 	|	 -17.0 	| 450.88789462294085
7.0 	|	 -24.0 	| 383.3462037585169
8.0 	|	 -31.0 	| 322.1775483300518
9.0 	|	 -39.0 	| 264.75208806784815
10.0 	|	 -46.0 	| 215.9139722940367
11.0 	|	 -50.0 	| 179.51511260306336
